,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,url
243227,tt7584894,movie,Grand Cru,Grand Cru,0,2017,\N,80,Documentary,6.8,14,https://www.imdb.com/title/tt7584894/
148323,tt1229782,movie,Greater Than Gold,Greater Than Gold,0,1982,\N,55,Drama,4.1,16,https://www.imdb.com/title/tt1229782/
36153,tt0070057,movie,Woman of the Ganges,La femme du Gange,0,1974,\N,85,Drama,6.6,122,https://www.imdb.com/title/tt0070057/
155817,tt1349646,movie,Defcon 2012,Defcon 2012,0,2010,\N,92,Sci-Fi,1.8,400,https://www.imdb.com/title/tt1349646/
140006,tt1093824,movie,Encounters at the End of the World,Encounters at the End of the World,0,2007,\N,99,Documentary,7.7,18122,https://www.imdb.com/title/tt1093824/
194598,tt2679710,movie,Shanghai Belleville,Shanghai Belleville,0,2015,\N,87,Drama,5.6,11,https://www.imdb.com/title/tt2679710/
249204,tt8541250,movie,Aparichita,Aparichita,0,1978,\N,139,"Horror,Mystery,Thriller",7.2,18,https://www.imdb.com/title/tt8541250/
152997,tt13117144,movie,Ebola Rex Versus Murder Hornets,Ebola Rex Versus Murder Hornets,0,2021,\N,70,Horror,2.6,16,https://www.imdb.com/title/tt13117144/
82773,tt0206405,movie,Warm Blooded Killers,Warm Blooded Killers,0,1999,\N,83,"Comedy,Crime",5.9,103,https://www.imdb.com/title/tt0206405/
70873,tt0156658,movie,Junoon,Junoon,0,1992,\N,123,"Drama,Horror,Musical",5.6,555,https://www.imdb.com/title/tt0156658/
192131,tt2511784,movie,Ek Nadir Galpo,Ek Nadir Galpo,0,2008,\N,124,Drama,7.8,45,https://www.imdb.com/title/tt2511784/
172994,tt1772270,movie,Foxfire: Confessions of a Girl Gang,Foxfire,0,2012,\N,143,"Crime,Drama",6.1,2278,https://www.imdb.com/title/tt1772270/
138918,tt10782876,movie,Swimming for Gold,Swimming for Gold,0,2020,\N,91,"Family,Sport",5.5,420,https://www.imdb.com/title/tt10782876/
56321,tt0106497,movie,Buried on Sunday,Buried on Sunday,0,1992,\N,94,"Comedy,Drama",6.2,163,https://www.imdb.com/title/tt0106497/
23000,tt0050652,movie,The Lonely Man,The Lonely Man,0,1957,\N,88,"Drama,Western",6.4,774,https://www.imdb.com/title/tt0050652/
163491,tt15105098,movie,Faces of Dying IV,Faces of Dying IV,0,2021,\N,52,Horror,2.8,10,https://www.imdb.com/title/tt15105098/
228289,tt5769586,movie,My Wife Is a Superstar,Wo de lao po shi ming xing,0,2016,\N,99,Comedy,4.2,83,https://www.imdb.com/title/tt5769586/
91633,tt0256083,movie,Hostile Environment,Hostile Environment,0,1999,\N,96,"Action,Sci-Fi",2.5,287,https://www.imdb.com/title/tt0256083/
196119,tt2823054,movie,Mike and Dave Need Wedding Dates,Mike and Dave Need Wedding Dates,0,2016,\N,98,"Comedy,Romance",6.0,86417,https://www.imdb.com/title/tt2823054/
6526,tt0025746,movie,The Scarlet Empress,The Scarlet Empress,0,1934,\N,104,"Drama,History,Romance",7.6,6368,https://www.imdb.com/title/tt0025746/
46144,tt0087550,movie,Kidco,Kidco,0,1984,\N,105,Comedy,6.1,668,https://www.imdb.com/title/tt0087550/
30082,tt0060655,movie,Maigret à Pigalle,Maigret à Pigalle,0,1966,\N,100,"Crime,Drama",5.8,135,https://www.imdb.com/title/tt0060655/
170596,tt1699518,movie,The Young Karl Marx,Le jeune Karl Marx,0,2017,\N,118,"Biography,Drama,History",6.6,6176,https://www.imdb.com/title/tt1699518/
105290,tt0331513,movie,Nan quan wang II zhi Qi zhuang shan he,Nan quan wang II zhi Qi zhuang shan he,0,1985,\N,89,"Adventure,Fantasy",4.5,14,https://www.imdb.com/title/tt0331513/
74168,tt0171364,movie,Havrania cesta,Havrania cesta,0,1962,\N,90,Drama,6.6,16,https://www.imdb.com/title/tt0171364/
16454,tt0040937,movie,Il vento m'ha cantato una canzone,Il vento m'ha cantato una canzone,0,1947,\N,90,"Comedy,Musical",6.3,21,https://www.imdb.com/title/tt0040937/
57217,tt0108150,movie,Siyabend and Xece,Sîyabend û Xecê,0,1991,\N,98,"Drama,Romance",4.8,113,https://www.imdb.com/title/tt0108150/
188338,tt2334873,movie,Blue Jasmine,Blue Jasmine,0,2013,\N,98,"Comedy,Drama",7.3,197678,https://www.imdb.com/title/tt2334873/
72315,tt0163882,movie,Tzur Hadassim,Tzur Hadassim,0,1999,\N,100,Drama,6.3,69,https://www.imdb.com/title/tt0163882/
254745,tt9640694,movie,"Living There Is Not Hell, It Is the Fire of the Desert. The Plenitude of Life That Stayed There Like a Tree",Vivir Allí No Es el Infierno Es el Fuego del Desierto La Plenitud de la Vida Quedó Ahí Como un Árbol,0,2018,\N,58,Drama,5.3,7,https://www.imdb.com/title/tt9640694/
